Client name,Service Offerings,Service Lines,[Year-Month],[Service Offering ID],Country,Collection Days,Revenue,Gross Profit,Direct Profit,Total Cost,Total Cost GP,Total Cost DP,External Blue,External Green,External Red,External Yellow,External Pink,External Orange,External Black,Internal Blue,Internal green,Internal Red,Internal Yellow,Internal Orange,Internal White,Internal Brown,Internal Blue,Internal Pink,Internal Pink
AKPINAR Mietwagen KG,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-1.9062,-1.9062,1.9062,1.9062,0,,,,,,,,,,,,,,1.9062,,,
Albertgasse 5 DG Projektentw GmbH,Cube,Venus,2023-Dec,SO00060,ITALY,60,,-32.7327,-32.7327,32.7327,32.7327,0,,,,,,,,,,,,,,32.7327,,,
Albertgasse 5 DG Projektentw GmbH,Cube,Venus,2023-Dec,SO00060,ITALY,60,,-0.7896,-497.609,497.609,0.7896,496.8194,,,,,,,,496.8194,,,,,,0.7896,,,
ALEKSANDROV Kamen,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,1595,1506.368,683.618,911.382,88.632,822.75,822.75,,,,,,,,,,,,,88.632,,,
ALEKSANDROV Kamen,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,720,348.556,348.556,371.444,371.444,0,,,,,,,,,,,,,,371.444,,,
ALFA M GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,,0,0,0,0,0,,,,,,,,,,,,,,,,,
All 4 Y GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,48946.55,48889.1587,28617.2148,20329.3352,57.3913,20271.9439,19254.6522,,299.7,418.86,,,,25.8075,,,272.9242,,,57.3913,,,
All 4 Y GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,-0.02,-106.5614,-256.5383,256.5183,106.5414,149.9769,,,,,,,,12.538,,,133.505,,,106.5414,3.9339,,
Altbausanierung A.Z. GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,166.98,148.6212,23.8255,143.1545,18.3588,124.7957,121.08,,,,,,,,,,3.7157,,,18.3588,,,
Altbausanierung A.Z. GmbH,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-34.8916,-38.6406,38.6406,34.8916,3.749,,,,,,,,,,,3.749,,,34.8916,,,
Altbausanierung A.Z. GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,1291.08,1291.08,837.98,453.1,0,453.1,453.1,,,,,,,,,,,,,,,,
Altbausanierung A.Z. GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,,-53.9898,-70.233,70.233,53.9898,16.2432,,,,,,,,,,,16.2432,,,53.9898,,,
Altbausanierung A.Z. GmbH,Uno Wear,Venus,2023-Dec,SO00064,USA,30,,-30.751,-54.392,54.392,30.751,23.641,,,,,,,,,,,23.641,,,30.751,,,
AMILA Web Services GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,296.4027,294.2723,191.883,104.5197,2.1304,102.3893,21.1715,,12.7029,5,,,63.5149,,,,,,,2.1304,,,
AMILA Web Services GmbH,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-105.7376,-105.7376,105.7376,105.7376,0,,,,,,,,,,,,,,105.7376,,,
ANGHEL Georgeta-Nicoleta,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,1644.4428,1629.5274,1251.7998,392.643,14.9154,377.7276,258.3996,,59.2803,37.5,,,22.5477,,,,,,,14.9154,,,
ANGHEL Georgeta-Nicoleta,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-126.2818,-126.2818,126.2818,126.2818,0,,,,,,,,,,,,,,126.2818,,,
ANGHEL Georgeta-Nicoleta,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-487.3724,-487.3724,487.3724,487.3724,0,,,,,,,,,,,,,,487.3724,,,
ANGHEL Georgeta-Nicoleta,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,-32.2444,-32.2444,32.2444,32.2444,0,,,,,,,,,,,,,,32.2444,,,
ANGYAL Istvan,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,6963.66,6890.1632,5827.8169,1135.8431,73.4968,1062.3463,999.4015,,,,,,,,,,62.9448,,,73.4968,,,
ANGYAL Istvan,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-272.3212,-286.4825,286.4825,272.3212,14.1613,,,,,,,,,,,14.1613,,,272.3212,,,
Anjeela Handels KG,Terra Shsave,Mars,2023-Dec,SO00025,CHINA,60,,-98.0378,-98.0378,98.0378,98.0378,0,,,,,,,,,,,,,,98.0378,,,
Anjeela Handels KG,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,2191.9737,2191.6239,1492.2868,699.6869,0.3498,699.3371,600.1132,,49.2239,50,,,,,,,,,,0.3498,,,
Anjeela Handels KG,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,2157.1252,2154.9948,1367.6714,789.4538,2.1304,787.3234,620.46,9.5272,38.1089,105,,,,,14.2273,,,,,2.1304,,,
Anjeela Handels KG,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,412.8466,399.7118,252.4891,160.3575,13.1348,147.2227,120.7584,,12.7029,13.7614,,,,,,,,,,13.1348,,,
Anjeela Handels KG,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-425.6964,-425.6964,425.6964,425.6964,0,,,,,,,,,,,,,,425.6964,,,
Anjeela Handels KG,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,,-376.8308,-401.6358,401.6358,376.8308,24.805,,,,,,,,,,,,,,376.8308,,24.805,
Anjeela Handels KG,Sharpy Knife,Mars,2023-Dec,SO00062,SPAIN,UNKNOWN,-361.675,-409.6752,-409.6752,48.0002,48.0002,0,,,,,,,,,,,,,,48.0002,,,
Anjeela Handels KG,Snap It,Mars,2023-Dec,SO00069,USA,30,,0,0,0,0,0,,,,,,,,,,,,,,,,,
Anjeela Handels KG,Orbital Keys,Earth,2023-Dec,SO00063,USA,30,,-96.7332,-96.7332,96.7332,96.7332,0,,,,,,,,,,,,,,96.7332,,,
Anjeela Handels KG,Hexagon,Earth,2023-Dec,Unspecified,USA,30,,0,0,0,0,0,,,,,,,,,,,,,,,,,
APGD Bau KG,Scruncho,Venus,2023-Dec,SO00065,USA,30,34041,34041,10933.2474,23107.7526,0,23107.7526,,,,,,,23107.7526,,,,,,,,,,
APGD Bau KG,Scruncho,Venus,2023-Dec,SO00065,USA,30,,-35.61,-35.61,35.61,35.61,0,,,,,,,,,,,,,,35.61,,,
APGD Bau KG,Scruncho,Venus,2023-Dec,SO00065,USA,30,,-1.1822,-1.1822,1.1822,1.1822,0,,,,,,,,,,,,,,1.1822,,,
APGD Bau KG,Villafy,Venus,2023-Dec,SO00066,USA,30,300,293.5206,165.7717,134.2283,6.4794,127.7489,72,,,,,,0,,,,55.7489,,,6.4794,,,
APGD Bau KG,Villafy,Venus,2023-Dec,SO00066,USA,30,,-39.8218,-43.5708,43.5708,39.8218,3.749,,,,,,,,,,,3.749,,,39.8218,,,
APGD Bau KG,Stickem,Venus,2023-Dec,SO00061,IRELAND,45,,-7.332,-7.332,7.332,7.332,0,,,,,,,,,,,,,,7.332,,,
APGD Bau KG,Uno Wear,Venus,2023-Dec,SO00064,USA,30,59599.7,59476.9677,36332.5256,23267.1744,122.7323,23144.4421,21637.2349,,731.88,525.1872,,,,,,,250.14,,,122.7323,,,
APGD Bau KG,Uno Wear,Venus,2023-Dec,SO00064,USA,30,,-287.0884,-312.0822,312.0822,287.0884,24.9938,,,,,,,,,,,24.9938,,,287.0884,,,
